Interval=	0.0025 s
ExcelDateTime=	4.4991596726522410e+004	3/6/2023 14:19:17.171536
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
2.23	-2.8
2.2325	-1.6
2.235	-3.0
2.2375	3.0
2.24	-3.3
2.2425	-7.7
2.245	-2.1
2.2475	-2.1
2.25	-6.2
2.2525	-5.2
2.255	10.7
2.2575	10.5
2.26	-1.4
2.2625	2.2
2.265	-7.8
2.2675	-19.8
2.27	-9.8
2.2725	-0.7
2.275	2.4
2.2775	2.7
2.28	-11.6
2.2825	-22.5
2.285	-20.6
2.2875	-17.1
2.29	-7.8
2.2925	-8.5
2.295	-14.4
2.2975	-18.3
2.3	-22.2
2.3025	-17.7
2.305	-10.1
2.3075	-12.3
2.31	-20.3
2.3125	-20.5
2.315	-18.6
2.3175	-18.0
2.32	-20.6
2.3225	-18.9
2.325	-12.9
2.3275	-16.1
2.33	-14.6
2.3325	-14.9
2.335	-17.9
2.3375	-12.4
2.34	-13.7
2.3425	-21.5
2.345	-14.7
2.3475	-5.1
2.35	-21.1
2.3525	-34.7
2.355	-24.3
2.3575	-12.7
2.36	-15.0
2.3625	-15.3
2.365	-7.7
2.3675	-13.5
2.37	-21.0
2.3725	-12.9
2.375	-9.0
2.3775	-4.5
2.38	0.1
2.3825	-9.5
2.385	-18.6
2.3875	-22.4
2.39	-16.4
2.3925	-8.6
2.395	-11.7
2.3975	-12.7
2.4	-6.4
2.4025	-3.8
2.405	-7.8
2.4075	1.0
2.41	2.1
2.4125	-1.9
2.415	8.0
2.4175	-7.8
2.42	-9.5
2.4225	3.7
2.425	-0.3
2.4275	5.4
2.43	0.1
2.4325	5.5
2.435	0.4
2.4375	-21.8
2.44	-7.2
2.4425	-6.3
2.445	-11.9
2.4475	-11.1
2.45	-11.4
2.4525	-7.5
2.455	-3.8
2.4575	-7.3
2.46	-11.8
2.4625	-1.3
2.465	-6.4
2.4675	-22.9
2.47	-21.5
2.4725	-16.2
2.475	-15.3
2.4775	-18.2
2.48	-14.1
2.4825	-6.4
2.485	-8.6
2.4875	-12.1
2.49	-14.0
2.4925	-13.1
2.495	-15.0
2.4975	-18.3
2.5	-18.7
2.5025	-18.2
2.505	-22.1
2.5075	-25.9
2.51	-11.0
2.5125	-6.8
2.515	-18.6
2.5175	-12.2
2.52	-11.5
2.5225	-13.3
2.525	-14.4
2.5275	-20.3
2.53	-18.3
2.5325	-16.4
2.535	-23.8
2.5375	-26.6
2.54	-27.2
2.5425	-31.0
2.545	-27.0
2.5475	-33.5
2.55	-35.2
2.5525	-20.7
2.555	-20.8
2.5575	-16.1
2.56	-11.3
2.5625	-27.7
2.565	-35.7
2.5675	-28.9
2.57	-24.5
2.5725	-27.8
2.575	-17.0
2.5775	-18.9
2.58	-23.3
2.5825	-15.0
2.585	-16.7
2.5875	-15.4
2.59	-15.8
2.5925	-7.7
2.595	-8.6
2.5975	-28.5
2.6	-30.0
2.6025	-17.5
2.605	-6.8
2.6075	-13.7
2.61	-23.6
2.6125	-22.4
2.615	-24.3
2.6175	-21.1
2.62	-24.1
2.6225	-18.1
2.625	-2.5
2.6275	-15.5
2.63	-19.2
2.6325	-9.2
2.635	-15.4
2.6375	-21.1
2.64	-18.6
2.6425	-19.3
2.645	-18.0
2.6475	-12.8
2.65	-17.6
2.6525	-22.2
2.655	-17.4
2.6575	-15.6
2.66	-15.0
2.6625	-16.4
2.665	-19.1
2.6675	-16.8
2.67	-9.0
2.6725	-3.7
2.675	-17.2
2.6775	-19.2
2.68	-3.8
2.6825	-10.0
2.685	-21.0
2.6875	-15.3
2.69	-17.0
2.6925	-17.8
2.695	-13.3
2.6975	-17.7
2.7	-14.5
2.7025	-16.7
2.705	-15.0
2.7075	-7.4
2.71	-24.8
2.7125	-26.9
2.715	-18.8
2.7175	-20.3
2.72	-18.0
2.7225	-17.0
2.725	-20.4
2.7275	-22.4
2.73	-18.3
2.7325	-20.4
2.735	-14.7
2.7375	-12.8
2.74	-15.9
2.7425	-13.2
2.745	-10.6
2.7475	-8.4
2.75	-17.5
2.7525	-15.9
2.755	-2.7
2.7575	-4.0
2.76	-8.9
2.7625	1.1
2.765	-1.1
2.7675	-5.1
2.77	-4.6
2.7725	-11.9
2.775	5.4
2.7775	9.5
2.78	0.5
2.7825	-16.1
2.785	-31.8
2.7875	-17.8
2.79	-1.4
2.7925	1.8
2.795	-24.7
2.7975	-27.0
2.8	-11.9
2.8025	-25.3
2.805	-32.3
2.8075	-33.7
2.81	-41.8
2.8125	-44.0
2.815	-33.1
2.8175	-28.1
2.82	-30.0
2.8225	-30.8
2.825	-29.1
2.8275	-24.9
2.83	-26.6
2.8325	-28.9
2.835	-27.4
2.8375	-26.4
2.84	-27.0
2.8425	-32.2
2.845	-26.4
2.8475	-21.6
2.85	-24.0
2.8525	-31.9
2.855	-30.2
2.8575	-29.0
2.86	-29.8
2.8625	-21.6
2.865	-21.5
2.8675	-18.1
2.87	-27.6
2.8725	-15.3
2.875	-14.8
2.8775	-30.9
2.88	-30.4
2.8825	-34.9
2.885	-30.9
2.8875	-29.6
2.89	-34.0
2.8925	-36.4
2.895	-26.6
2.8975	-27.3
2.9	-33.4
2.9025	-29.0
2.905	-28.9
2.9075	-32.6
2.91	-30.5
2.9125	-27.1
2.915	-31.5
2.9175	-35.4
2.92	-34.1
2.9225	-27.5
2.925	-27.1
2.9275	-37.1
2.93	-36.5
2.9325	-37.0
2.935	-37.1
2.9375	-29.1
2.94	-35.3
2.9425	-29.1
2.945	-28.9
2.9475	-28.7
2.95	-15.5
2.9525	-20.8
2.955	-20.7
2.9575	-30.6
2.96	-35.7
2.9625	-26.2
2.965	-29.8
2.9675	-27.4
2.97	-20.7
2.9725	-12.7
2.975	-30.9
2.9775	-58.9
2.98	-44.8
2.9825	-31.4
