Interval=	0.0025 s
ExcelDateTime=	4.4991637778096825e+004	3/6/2023 15:18:24.027566
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
2.65	18.5
2.6525	23.9
2.655	35.6
2.6575	38.5
2.66	40.7
2.6625	39.2
2.665	39.6
2.6675	37.8
2.67	34.1
2.6725	31.6
2.675	26.2
2.6775	22.9
2.68	13.6
2.6825	11.5
2.685	13.8
2.6875	3.8
2.69	-3.9
2.6925	-8.1
2.695	-5.5
2.6975	-4.2
2.7	-6.7
2.7025	-9.1
2.705	-16.9
2.7075	-19.7
2.71	-18.6
2.7125	-18.1
2.715	-11.0
2.7175	-7.4
2.72	-4.3
2.7225	0.6
2.725	-2.2
2.7275	3.9
2.73	10.7
2.7325	12.0
2.735	16.7
2.7375	21.8
2.74	26.2
2.7425	30.4
2.745	28.8
2.7475	26.8
2.75	30.0
2.7525	37.0
2.755	41.0
2.7575	35.4
2.76	36.6
2.7625	38.3
2.765	32.0
2.7675	20.0
2.77	10.7
2.7725	9.1
2.775	8.3
2.7775	7.3
2.78	-4.0
2.7825	-11.6
2.785	-15.3
2.7875	-14.8
2.79	-9.8
2.7925	-13.7
2.795	-11.7
2.7975	-6.2
2.8	-21.2
2.8025	-31.4
2.805	-24.2
2.8075	-16.2
2.81	-5.4
2.8125	-3.0
2.815	1.0
2.8175	6.2
2.82	11.8
2.8225	13.0
2.825	22.6
2.8275	35.5
2.83	28.6
2.8325	28.2
2.835	32.2
2.8375	54.3
2.84	40.1
2.8425	8.3
2.845	16.5
2.8475	8.7
2.85	11.9
2.8525	21.7
2.855	9.9
2.8575	4.5
2.86	-2.2
2.8625	-6.9
2.865	-4.8
2.8675	-2.2
2.87	-6.3
2.8725	-16.1
2.875	-13.2
2.8775	-21.2
2.88	-32.4
2.8825	-42.1
2.885	-48.5
2.8875	-44.8
2.89	-46.1
2.8925	-44.6
2.895	-48.0
2.8975	-51.1
2.9	-46.8
2.9025	-39.5
2.905	-39.3
2.9075	-32.1
2.91	-17.4
2.9125	-0.7
2.915	0.4
2.9175	1.3
2.92	6.3
2.9225	8.3
2.925	16.7
2.9275	13.0
2.93	9.0
2.9325	1.0
2.935	-1.8
2.9375	4.7
2.94	2.1
2.9425	-3.2
2.945	-7.3
2.9475	-10.3
2.95	-11.1
2.9525	-26.9
2.955	-35.7
2.9575	-27.0
2.96	-34.4
2.9625	-45.0
2.965	-46.7
2.9675	-47.4
2.97	-54.7
2.9725	-60.3
2.975	-63.1
2.9775	-66.3
2.98	-62.2
2.9825	-56.4
2.985	-52.1
2.9875	-57.7
2.99	-50.0
2.9925	-41.0
2.995	-37.3
2.9975	-35.2
3	-39.8
3.0025	-29.4
3.005	-26.9
3.0075	-9.7
3.01	1.3
3.0125	-14.4
3.015	-8.2
3.0175	0.2
3.02	-3.7
3.0225	-3.6
3.025	-2.9
3.0275	-11.8
3.03	-10.1
3.0325	-0.4
3.035	-8.8
3.0375	-13.6
3.04	-21.6
3.0425	-36.7
3.045	-37.3
3.0475	-40.2
3.05	-38.0
3.0525	-36.8
3.055	-44.0
3.0575	-48.6
3.06	-60.7
3.0625	-63.6
3.065	-57.0
3.0675	-58.6
3.07	-64.5
3.0725	-69.6
3.075	-72.3
3.0775	-71.5
3.08	-66.2
3.0825	-59.5
3.085	-48.4
3.0875	-37.8
3.09	-30.4
3.0925	-24.9
3.095	-20.1
3.0975	-20.8
3.1	-22.0
3.1025	-15.8
3.105	-15.2
3.1075	-16.1
3.11	-8.0
3.1125	-9.1
3.115	-23.0
3.1175	-24.0
3.12	-23.1
3.1225	-32.6
3.125	-38.2
3.1275	-34.8
3.13	-36.5
3.1325	-42.7
3.135	-43.4
3.1375	-48.3
3.14	-52.4
3.1425	-59.2
3.145	-63.7
3.1475	-68.7
3.15	-67.9
3.1525	-65.4
3.155	-71.3
3.1575	-74.8
3.16	-74.8
3.1625	-69.3
3.165	-72.3
3.1675	-72.0
3.17	-74.1
3.1725	-70.2
3.175	-55.0
3.1775	-51.5
3.18	-39.1
3.1825	-30.4
3.185	-33.6
3.1875	-37.8
3.19	-34.9
3.1925	-24.2
3.195	-25.5
3.1975	-33.8
3.2	-38.8
3.2025	-40.3
3.205	-34.7
3.2075	-35.3
3.21	-35.2
3.2125	-36.7
3.215	-38.9
3.2175	-40.9
3.22	-42.8
3.2225	-42.0
3.225	-44.8
3.2275	-39.4
3.23	-27.9
3.2325	-34.2
3.235	-52.2
3.2375	-50.6
3.24	-54.2
3.2425	-61.8
3.245	-60.7
3.2475	-66.7
3.25	-70.9
3.2525	-72.7
3.255	-72.1
3.2575	-75.3
3.26	-75.9
3.2625	-69.7
3.265	-63.4
3.2675	-66.1
3.27	-59.4
3.2725	-40.3
3.275	-35.5
3.2775	-27.0
3.28	-26.4
3.2825	-38.9
3.285	-33.3
3.2875	-32.8
3.29	-31.0
3.2925	-30.6
3.295	-40.8
3.2975	-40.3
3.3	-42.7
3.3025	-50.5
3.305	-56.4
3.3075	-55.0
3.31	-63.2
3.3125	-72.9
3.315	-58.5
3.3175	-53.7
3.32	-58.5
3.3225	-54.5
3.325	-48.1
3.3275	-53.2
3.33	-59.1
3.3325	-65.0
